Firm.Name,City,State,Firm.Number,Registration.Date,Expires,Type of Business,Last.Updated,Board Order
"Bravo CPA, LLC",Spokane,WA,55377,02/12/2024,06/30/2027,Corporation,,
Myers Forensic Accounting Services,SHELTON,WA,57484,04/07/2025,06/30/2028,Sole Proprietorship,,
"CINDY L. ISAACSON, CPA, P.S.",EDMONDS,WA,4583,08/13/2003,07/01/2021,P.S. Corporation,,
"DONALD D. ROBINS, CPA",SPOKANE VALLEY,WA,1440,05/20/1987,06/30/2022,Sole Proprietorship,,
MARTIN BOYLE PLLC,Kirkland,WA,4779,12/14/2004,05/11/2022,Limited Liability Company,,
"KAREN O. ESSON, CPA",BUCKEYE,AZ,43386,05/01/1984,03/03/2021,Sole Proprietorship,,
"STEPHEN G. DASHIELL, PS",SPOKANE,WA,3291,01/25/1995,06/30/2025,P.S. Corporation,,
"RICHARD N. GINNIS, CPA",SEATTLE,WA,722,04/25/1984,07/01/2021,Sole Proprietorship,,
RSM US LLP,Chicago,IL,3294,02/06/1995,06/30/2025,Limited Liability Partnership,,
"ROBERT A. GRAUMAN, CPA",WOODLAND,WA,620,04/12/1984,06/30/2024,Sole Proprietorship,,
"THOMAS J. GRIFFIN, CPA",NEWCASTLE,WA,554,04/16/1984,06/30/2027,Sole Proprietorship,,
"GERALD L. GREER, CPA",Covington,WA,1325,05/30/1986,06/30/2027,Sole Proprietorship,,
"MARPLE & MARPLE, INC., PS",KENNEWICK,WA,43245,03/22/1984,01/27/2020,P.S. Corporation,,
"CHRISTINA J. GEHRKE, CPA",Walla Walla,WA,45242,03/20/1995,06/30/2028,Sole Proprietorship,,
"MORAN & WOO, PS",Renton,WA,1560,02/16/1988,06/30/2027,P.S. Corporation,,
"JOHNSON, STONE & PAGANO, PS",Fircrest,WA,3175,03/06/1990,06/30/2027,P.S. Corporation,,
LEGG & WATNE CERTIFIED PUBLIC ACCOUNTANTS,Mount Vernon,WA,3334,05/02/1995,06/30/2025,P.S. Corporation,,
"S. JAY LEE, CPA, PS",Federal Way,WA,3346,05/19/1995,06/30/2028,P.S. Corporation,,
"FRANK J. MESSINA, CPA",UNIVERSITY PLACE,WA,2032,08/10/1989,10/05/2022,Sole Proprietorship,,
"MAHRT & ASSOCIATES, PLLC",Tacoma,WA,3342,05/09/1995,04/10/2025,Limited Liability Company,,
"MARGERY M. JONES, CPA INC PS",EDMONDS,WA,3351,06/08/1995,06/30/2028,P.S. Corporation,,
"GARRISON & KELLEY, CPA'S, PLLC",Woodinville,WA,3353,06/15/1995,06/30/2027,Limited Liability Company,,
"HARVEY J. ROTHSCHILD, III, CPA",Bellevue,WA,1376,11/05/1986,06/30/2027,Sole Proprietorship,,
"SAFSTROM & CO., PS",Seattle,WA,116,12/22/1982,06/30/2024,P.S. Corporation,,
"BRUCE J. TOEWS, CPA",College Place,WA,3358,06/23/1995,06/30/2025,Sole Proprietorship,,
"FLOYD P. SCHMEDDING, CPA",GREENACRES,WA,1140,12/17/1984,07/22/2022,Sole Proprietorship,,
"KATHY A. SCOTT, CPA",Centralia,WA,898,05/02/1984,06/30/2027,Sole Proprietorship,,
"PAGE ACCOUNTING FOR WAYNE H. PAGE, CPA",Puyallup,WA,1976,06/05/1989,06/30/2022,Sole Proprietorship,,
"SMITH & DEKAY, PS",Bellevue,WA,1623,06/02/1988,06/30/2027,P.S. Corporation,,
"NANCY L. MARKEL, CPA",Olympia,WA,3374,08/14/1995,08/07/2024,Sole Proprietorship,,
KITSAP ACCOUNTING & TAX SERVICES,Poulsbo,WA,1259,11/25/1985,06/30/2025,Sole Proprietorship,,
"STERLING KUDER & CO., PS",MERCER ISLAND,WA,43652,11/12/1986,10/07/2020,P.S. Corporation,,
"TELGENHOFF & OETGEN, PS",Lynden,WA,510,04/23/1984,06/30/2027,P.S. Corporation,,
"PAMELA A. THOMSON, PS",Bellevue,WA,3383,09/28/1995,09/16/2024,P.S. Corporation,,
"THOMAS R. TINDALL, CPA",Edmonds,WA,344,03/28/1984,06/30/2027,Sole Proprietorship,,
GATTIS STEWART AND ASSOCIATES P.S.,Seattle,WA,3397,11/01/1995,06/30/2028,P.S. Corporation,,
"E. GLENN EVERITT, JR., CPA",Federal Way,WA,3450,02/13/1996,06/30/2027,Sole Proprietorship,,
"STANFORD, MUNKO & CO., PLLC",Lynnwood,WA,3453,02/16/1996,07/01/2021,Limited Liability Company,,
"JOHNSON & SHUTE, PS",Bellevue,WA,1540,01/13/1988,06/30/2027,P.S. Corporation,,
"RAYMON L. FAUERBACH, CPA",KIRKLAND,WA,1179,04/04/1985,04/29/2021,Sole Proprietorship,,
"TERRY D. GODDARD, CPA",Yakima,WA,395,03/01/1984,06/30/2024,Sole Proprietorship,,
"ROBERT I. GREENE, CPA",Spokane,WA,731,04/25/1984,06/30/2027,Sole Proprietorship,,
JACOBSON LAWRENCE & ASSOC PLLC,Seattle,WA,3466,03/05/1996,06/30/2027,Limited Liability Company,,
"MARC S. HUTCHINSON, CPA, PS",Kirkland,WA,3473,03/18/1996,06/30/2024,P.S. Corporation,,
"WILLIAMS & NULLE, PLLC",Mount Vernon,WA,45391,03/18/1996,06/30/2027,Limited Liability Company,,
"BRIAN J. KELLY, CPA",CHEHALIS,WA,447,03/08/1984,06/30/2027,Sole Proprietorship,,
"SHANNON & ASSOCIATES, LLP",Kent,WA,3482,03/22/1996,06/30/2027,Limited Liability Partnership,,
HURDELBRINK & COMPANY,BELLEVUE,WA,3484,03/25/1996,07/01/2021,P.S. Corporation,,
KIRCHNER & JORDAN CPA PS,Oracle,AZ,263,10/01/1983,02/01/2022,P.S. Corporation,,
PATRICK AND WOLFLEY CPAS P.S.,Deer Park,WA,1857,03/16/1989,06/30/2024,P.S. Corporation,,
"HERRIN & COMPANY, CPA'S",Sammamish,WA,3488,04/08/1996,06/30/2027,P.S. Corporation,,
"JAMES W. KUKULL, CPA, ASA",KIRKLAND,WA,1238,09/04/1985,01/12/2022,Sole Proprietorship,,
"HASSON LAIBLE & CO., PS",Seattle,WA,3489,04/09/1996,06/30/2027,P.S. Corporation,,
"LEFFEL OTIS & WARWICK, PS",Davenport,WA,1220,07/10/1985,06/30/2025,P.S. Corporation,,
"DOUGLAS GOLD, CPA",SEATTLE,WA,2342,07/02/1990,04/21/2022,Sole Proprietorship,,
"JEFFREY M. HANCOCK, CPA",Seattle,WA,3494,04/01/1996,06/30/2027,Sole Proprietorship,,
"J. Kramer & Associates, PLLC",Wenatchee,WA,3496,04/15/1996,06/30/2027,Limited Liability Company,,
"LEONARD H. MARKLUND, CPA, PS",KEYPORT,WA,2204,04/02/1990,07/01/2021,P.S. Corporation,,
"MINAR AND NORTHEY, LLP",Seattle,WA,3497,04/16/1996,06/30/2027,Limited Liability Partnership,,
ANDERSON SWANSON MALLONEE & SENGER,Edmonds,WA,2837,09/29/1992,06/07/2023,P.S. Corporation,,
"THE MYERS ASSOCIATES, PC",Seattle,WA,459,03/12/1984,06/30/2027,P.S. Corporation,,
"TERAH REGAN, CPA",La Conner,WA,928,05/03/1984,06/30/2027,Sole Proprietorship,,
PRESZLER LARNER MERTZ & CO LLP,Aberdeen,WA,3508,04/30/1996,06/30/2027,Limited Liability Partnership,,
"PEASLEY ROSS & CO., PS",Seattle,WA,115,01/26/1983,01/12/2023,P.S. Corporation,,
"CONTRACT CONTROLLERS CPA'S, PS",RENTON,WA,3512,05/01/1996,06/30/2024,P.S. Corporation,,
"RODNEY A. REED, CPA",Anacortes,WA,1290,01/28/1986,06/30/2027,Sole Proprietorship,,
"COX & GRACIA, PS",Bellevue,WA,2215,04/06/1990,06/30/2027,P.S. Corporation,,
"SHEEHAN & CO., PS",Kirkland,WA,23,05/16/1984,06/30/2027,P.S. Corporation,,
"ELIZABETH F. COPSTEAD, CPA, PS",Edmonds,WA,3515,05/23/1996,06/30/2027,P.S. Corporation,,
"SUSAN BURFORD, CPA",Spokane,WA,3517,05/28/1996,08/22/2022,Sole Proprietorship,,
"SOUTHARD, BECKHAM, ATWATER & BERRY, CPA, PS",Port Orchard,WA,1864,03/21/1989,02/01/2022,P.S. Corporation,,
"JEAN V. E. SPEIDEL, CPA",Wenatchee,WA,1143,12/17/1984,07/21/2021,Sole Proprietorship,,
"CAROL D. COWLING, CPA, PS",Waterville,WA,45438,06/05/1996,06/30/2027,P.S. Corporation,,
"GRIFFITHS, DREHER, & EVANS, P.S., CPAS",Spokane Valley,WA,3523,06/10/1996,06/30/2027,P.S. Corporation,,
"GREGORY S. PARRY, CPA",Seattle,WA,3526,06/14/1996,06/30/2027,Sole Proprietorship,,
"LUBY AND THOMSON, PLLC",Bellevue,WA,3527,06/17/1996,06/30/2027,Limited Liability Company,,
"CECIL R. WHITLOCK, CPA INC PS",Bremerton,WA,3531,07/08/1996,06/30/2027,P.S. Corporation,,
"CHRISTINA ANDERSON, CPA",SEATTLE,WA,44097,11/20/1989,12/08/2020,Sole Proprietorship,,
